year,age_group,covid_deaths,source_citation,source_type,fetched_from,verified_by,verified_date,corroborated_against,corroborated_date
2023,45-64,4824,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2023,65-74,8894,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2023,75-84,15417,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2023,85+,19786,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,0-24,187,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,25-44,448,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,45-64,2853,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,65-74,5587,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,75-84,9942,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
2024,85+,12409,"CDC WONDER export covid_u071_by_age_2020-2024_ucd-singlerace.txt (sha256:7349a89a4a8c). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: 2020; 2021; 2022; 2023; 2024. ICD-10 Codes: U07.1 (COVID-19). Group By: Year; Ten-Year Age Groups. Accessed: Aug 30, 2026 2:45:57 AM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:covid_u071_by_age_2020-2024_ucd-singlerace.txt@sha256:7349a89a4a8c,,,,
